_id,userId,chatty_score,safety_score,punctuality_score,friendliness_score,comfortibility_score,UTT
5d942f7eeea828feb7c074ab,5d9425eea9cf770a818c3904,2,2,3,4,3,25
5d942f7feea828feb7c074ac,5d94264ea9cf770a818cd6df,2,4,5,4,2,30
5d942f7feea828feb7c074ad,5d9426aca9cf770a818d7893,3,4,3,4,2,30
5d942fa9eea828feb7c074ba,5d94261ea9cf770a818c877a,3,1,1,4,5,10
5d942fa9eea828feb7c074bb,5d942613a9cf770a818c764d,5,4,3,1,5,25
5d942fa9eea828feb7c074bc,5d9426cda9cf770a818db05a,3,3,3,3,2,25
5d942fe2eea828feb7c074ce,5d942617a9cf770a818c7c7c,4,3,5,4,3,10
5d942fe3eea828feb7c074cf,5d942649a9cf770a818ccd57,1,4,5,2,3,10
5d942fe3eea828feb7c074d0,5d942686a9cf770a818d356c,1,4,3,3,1,20
5d942fe3eea828feb7c074d1,5d9426cea9cf770a818db0bf,4,2,4,4,2,30
5d943027eea828feb7c074de,5d942647a9cf770a818ccb59,3,2,1,2,5,10
5d943027eea828feb7c074df,5d942682a9cf770a818d2f7c,5,1,4,2,4,30
5d943027eea828feb7c074e0,5d9426a0a9cf770a818d634a,2,4,3,3,2,10
5d943046eea828feb7c074f2,5d942694a9cf770a818d4ea2,5,2,5,4,2,10
5d943047eea828feb7c074f3,5d942636a9cf770a818caea3,5,1,4,4,5,15
5d943047eea828feb7c074f4,5d94268da9cf770a818d42f5,5,2,2,5,4,15
5d943047eea828feb7c074f5,5d9426c9a9cf770a818da7f2,5,2,5,1,2,30
5d94309aeea828feb7c07508,5d942674a9cf770a818d172f,1,1,1,2,5,10
5d94309aeea828feb7c07509,5d94267aa9cf770a818d2122,2,2,2,4,5,10
5d94309aeea828feb7c0750a,5d942652a9cf770a818cdd53,4,1,3,5,4,30
5d94309beea828feb7c0750b,5d94272fa9cf770a818e5235,2,4,1,5,3,15
5d943108eea828feb7c0751f,5d942657a9cf770a818ce6b1,3,3,2,3,1,10
5d943108eea828feb7c07520,5d9425c5a9cf770a818bfa08,5,1,2,3,2,20
5d943109eea828feb7c07521,5d942632a9cf770a818ca90c,4,3,4,3,4,15
5d943109eea828feb7c07522,5d942784a9cf770a818ed9d8,3,1,1,5,2,25
5d943122eea828feb7c0752f,5d9425eda9cf770a818c3775,1,3,3,2,1,10
5d943122eea828feb7c07530,5d942632a9cf770a818ca876,3,5,2,2,2,25
5d943122eea828feb7c07531,5d9426f1a9cf770a818dea4c,2,2,4,2,4,30
5d94313deea828feb7c0753d,5d942604a9cf770a818c5d55,3,3,2,5,2,10
5d94313eeea828feb7c0753e,5d9425f0a9cf770a818c3d5f,2,1,4,5,2,30
5d94313eeea828feb7c0753f,5d9426cca9cf770a818dad6c,5,2,3,3,3,15
5d943160eea828feb7c0754b,5d942678a9cf770a818d1d07,3,4,4,3,1,10
5d943160eea828feb7c0754c,5d942663a9cf770a818cfaaf,5,5,1,4,2,30
5d943161eea828feb7c0754d,5d9426aaa9cf770a818d74ea,4,3,2,4,1,25
5d9431a0eea828feb7c0755f,5d94267ba9cf770a818d234a,4,3,5,3,3,10
5d9431a0eea828feb7c07560,5d9425bda9cf770a818bee94,1,3,5,1,4,20
5d9431a0eea828feb7c07561,5d94264ca9cf770a818cd392,1,1,5,4,2,10
5d9431a0eea828feb7c07562,5d9426b1a9cf770a818d8068,5,1,4,1,5,15
5d94320ceea828feb7c0756f,5d94262aa9cf770a818c9c37,5,1,2,3,3,10
5d94320ceea828feb7c07570,5d94265da9cf770a818cefb9,3,3,3,1,5,15
5d94320ceea828feb7c07571,5d9426f9a9cf770a818df68f,1,4,3,3,5,10
5d943233eea828feb7c07583,5d9425fca9cf770a818c5022,5,2,3,2,1,10
5d943233eea828feb7c07584,5d9425d4a9cf770a818c1155,5,5,3,3,1,20
5d943233eea828feb7c07585,5d9425e2a9cf770a818c2820,4,5,5,3,4,10
5d943233eea828feb7c07586,5d9426caa9cf770a818da9bf,4,2,1,5,4,25
5d943243eea828feb7c07599,5d94267ca9cf770a818d2406,5,3,1,2,5,10
5d943244eea828feb7c0759a,5d9425cda9cf770a818c06a1,3,3,1,2,1,30
5d943244eea828feb7c0759b,5d942661a9cf770a818cf639,5,5,5,5,5,25
5d943244eea828feb7c0759c,5d9426b3a9cf770a818d8321,4,4,5,4,4,30
5d94325aeea828feb7c075a9,5d94268ca9cf770a818d4056,4,2,3,4,4,10
5d94325aeea828feb7c075aa,5d94261aa9cf770a818c8192,5,4,4,1,2,25
5d94325aeea828feb7c075ab,5d9426a4a9cf770a818d6a08,3,1,3,4,4,20
5d94328aeea828feb7c075bd,5d942639a9cf770a818cb3b9,4,1,5,4,5,10
5d94328aeea828feb7c075be,5d9425f1a9cf770a818c3e61,4,2,5,2,4,15
5d94328beea828feb7c075bf,5d9425bba9cf770a818beaef,5,3,5,5,1,10
5d94328beea828feb7c075c0,5d942733a9cf770a818e590f,3,1,3,1,1,20
5d9432a0eea828feb7c075cd,5d9425d2a9cf770a818c0ee2,3,2,1,4,3,10
5d9432a0eea828feb7c075ce,5d942615a9cf770a818c78bb,3,1,4,5,3,25
5d9432a0eea828feb7c075cf,5d9426bba9cf770a818d9181,2,2,4,4,1,15
5d9432b5eea828feb7c075e1,5d94263ba9cf770a818cb6e7,2,4,3,3,4,10
5d9432b5eea828feb7c075e2,5d942626a9cf770a818c957d,3,5,4,5,2,20
5d9432b6eea828feb7c075e3,5d9425fba9cf770a818c4f30,5,5,5,4,4,20
5d9432b6eea828feb7c075e4,5d9426b1a9cf770a818d8107,2,1,4,3,4,25
5d9432deeea828feb7c075f7,5d942611a9cf770a818c734e,2,2,2,5,3,10
5d9432deeea828feb7c075f8,5d94262da9cf770a818ca0a1,2,4,4,5,1,25
5d9432dfeea828feb7c075f9,5d942675a9cf770a818d1941,4,4,2,4,4,20
5d9432dfeea828feb7c075fa,5d9426a9a9cf770a818d72df,5,1,5,3,2,15
5d9432e6eea828feb7c07607,5d9425e1a9cf770a818c25c7,5,4,5,2,4,10
5d9432e6eea828feb7c07608,5d9425bfa9cf770a818bf160,5,2,1,4,1,20
5d9432e6eea828feb7c07609,5d9426a1a9cf770a818d6527,3,3,4,5,5,15
5d943311eea828feb7c0761b,5d9425f8a9cf770a818c49ad,4,3,4,4,2,10
5d943311eea828feb7c0761c,5d942659a9cf770a818ce87b,5,3,1,4,2,20
5d943311eea828feb7c0761d,5d94261fa9cf770a818c8986,5,1,1,1,2,25
5d943311eea828feb7c0761e,5d9426d9a9cf770a818dc4fe,4,1,5,5,4,30
5d943321eea828feb7c0762b,5d942605a9cf770a818c5e6f,5,2,4,2,4,10
5d943321eea828feb7c0762c,5d942611a9cf770a818c7362,5,5,2,3,2,10
5d943321eea828feb7c0762d,5d9426aba9cf770a818d75f3,5,1,4,5,5,20
5d943355eea828feb7c0763f,5d942612a9cf770a818c751d,3,3,2,4,2,10
5d943355eea828feb7c07640,5d94266fa9cf770a818d0e01,1,2,2,5,4,15
5d943355eea828feb7c07641,5d9425dba9cf770a818c1d0b,2,3,5,5,3,25
5d943356eea828feb7c07642,5d9426d3a9cf770a818db8f4,3,2,3,4,3,15
5d943376eea828feb7c07655,5d942662a9cf770a818cf8ec,1,3,3,1,5,10
5d943376eea828feb7c07656,5d94260ea9cf770a818c6ec2,3,2,4,2,5,20
5d943376eea828feb7c07657,5d942692a9cf770a818d4a56,1,2,4,1,5,20
5d943376eea828feb7c07658,5d9426a4a9cf770a818d6a8c,1,4,2,3,3,10
5d94338beea828feb7c07666,5d942634a9cf770a818cabb3,2,3,1,1,1,10
5d94338beea828feb7c07667,5d9425dca9cf770a818c1e8b,1,4,4,3,4,20
5d94338ceea828feb7c07668,5d9426e9a9cf770a818dddd3,3,5,3,2,5,10
5d9433aeeea828feb7c0767a,5d942627a9cf770a818c9715,4,2,5,4,1,10
5d9433aeeea828feb7c0767b,5d9425eca9cf770a818c36f9,4,5,5,4,5,15
5d9433aeeea828feb7c0767c,5d9425eda9cf770a818c37d2,5,2,3,4,2,30
5d9433aeeea828feb7c0767d,5d9426d3a9cf770a818dba53,1,4,2,5,5,15
5d9433d0eea828feb7c0768a,5d9425bda9cf770a818beefb,1,4,3,3,4,10
5d9433d0eea828feb7c0768b,5d942663a9cf770a818cf9f2,2,5,5,2,1,30
5d9433d0eea828feb7c0768c,5d942706a9cf770a818e0d2f,1,1,4,4,4,25
5d9433f5eea828feb7c07698,5d942631a9cf770a818ca6b8,3,1,1,4,2,10
5d9433f5eea828feb7c07699,5d942673a9cf770a818d157a,5,2,3,5,4,20
5d9433f6eea828feb7c0769a,5d9426cca9cf770a818daea6,4,3,4,3,3,25
5d94340eeea828feb7c076ac,5d9425cfa9cf770a818c0a8a,3,5,5,4,2,10
5d94340eeea828feb7c076ad,5d9425f1a9cf770a818c3f2a,3,5,2,4,2,30
5d94340eeea828feb7c076ae,5d942695a9cf770a818d5059,3,5,5,5,3,25
5d94340eeea828feb7c076af,5d9426aba9cf770a818d7606,2,1,1,4,1,20
5d943452eea828feb7c076c2,5d94268aa9cf770a818d3e09,1,2,5,2,5,10
5d943452eea828feb7c076c3,5d9425b5a9cf770a818be2c6,1,3,4,3,4,20
5d943452eea828feb7c076c4,5d94266ba9cf770a818d0850,4,2,3,3,2,15
5d943452eea828feb7c076c5,5d9426b1a9cf770a818d808f,1,5,3,2,1,30
5d94345beea828feb7c076d2,5d9425ffa9cf770a818c5501,4,1,1,4,3,10
5d94345beea828feb7c076d3,5d9425caa9cf770a818c021b,5,5,3,3,1,20
5d94345beea828feb7c076d4,5d9426aca9cf770a818d7875,5,4,4,5,5,25
5d943480eea828feb7c076e0,5d94264ba9cf770a818cd119,1,5,1,1,5,10
5d943480eea828feb7c076e1,5d9425cca9cf770a818c0431,5,5,1,4,3,10
5d943481eea828feb7c076e2,5d9426fea9cf770a818e0043,4,5,3,5,5,10
5d94349deea828feb7c076ee,5d94262ba9cf770a818c9d90,5,2,5,5,1,10
5d94349deea828feb7c076ef,5d9425c1a9cf770a818bf385,4,5,2,2,2,25
5d94349eeea828feb7c076f0,5d9426a4a9cf770a818d69b7,3,4,2,1,5,15
5d9434a6eea828feb7c076fc,5d942675a9cf770a818d193c,5,1,1,3,5,10
5d9434a6eea828feb7c076fd,5d9425b4a9cf770a818be106,4,1,1,4,1,15
5d9434a6eea828feb7c076fe,5d9426a2a9cf770a818d6680,5,3,4,4,3,25
5d9434ebeea828feb7c07710,5d942604a9cf770a818c5d37,5,3,3,5,4,10
5d9434ebeea828feb7c07711,5d942600a9cf770a818c5644,5,5,1,1,3,30
5d9434eceea828feb7c07712,5d9425c8a9cf770a818bff34,3,2,4,3,3,15
5d9434eceea828feb7c07713,5d9426eba9cf770a818de12a,4,2,2,3,2,20
5d94355aeea828feb7c07726,5d942652a9cf770a818cdc8b,2,5,1,3,3,10
5d94355aeea828feb7c07727,5d942699a9cf770a818d5747,3,3,3,1,5,30
5d94355aeea828feb7c07728,5d942663a9cf770a818cfa10,1,5,1,3,1,25
5d94355beea828feb7c07729,5d9426afa9cf770a818d7d97,4,1,4,5,2,30
5d943599eea828feb7c0773c,5d94269da9cf770a818d5e1b,4,3,2,2,5,10
5d943599eea828feb7c0773d,5d94260aa9cf770a818c66aa,2,3,1,1,4,20
5d94359aeea828feb7c0773e,5d9425dfa9cf770a818c2326,5,4,3,2,5,15
5d94359aeea828feb7c0773f,5d9426d1a9cf770a818db5f5,3,2,4,2,3,10
5d9435ceeea828feb7c07752,5d94267da9cf770a818d2652,1,4,1,2,5,10
5d9435ceeea828feb7c07753,5d9425f9a9cf770a818c4c16,4,1,1,4,5,30
5d9435ceeea828feb7c07754,5d942612a9cf770a818c749d,5,4,3,5,5,25
5d9435cfeea828feb7c07755,5d9426dea9cf770a818dcc10,4,5,1,5,3,10
5d943611eea828feb7c07762,5d942640a9cf770a818cbe9b,4,2,4,4,2,10
5d943612eea828feb7c07763,5d9425d7a9cf770a818c15c0,5,4,2,5,2,25
5d943612eea828feb7c07764,5d942777a9cf770a818ec539,4,5,2,3,5,25
5d94362deea828feb7c07770,5d9425c3a9cf770a818bf781,4,2,2,4,2,10
5d94362eeea828feb7c07771,5d942694a9cf770a818d4f13,5,3,5,5,3,20
5d94362eeea828feb7c07772,5d9426ada9cf770a818d79c4,3,5,1,2,2,25
5d943654eea828feb7c07784,5d94265ca9cf770a818cee99,2,2,1,4,2,10
5d943654eea828feb7c07785,5d942633a9cf770a818ca972,2,2,3,4,3,10
5d943654eea828feb7c07786,5d942649a9cf770a818cce76,3,1,1,5,1,25
5d943654eea828feb7c07787,5d94270ba9cf770a818e1563,4,5,4,4,3,25
5d943666eea828feb7c07794,5d942644a9cf770a818cc578,1,3,1,2,3,10
5d943666eea828feb7c07795,5d94263da9cf770a818cb99d,3,5,1,1,5,25
5d943666eea828feb7c07796,5d9426c5a9cf770a818da135,5,2,5,5,1,15
5d943682eea828feb7c077a9,5d942618a9cf770a818c7e62,2,2,3,4,1,10
5d943682eea828feb7c077aa,5d942631a9cf770a818ca6c3,5,4,1,5,4,20
5d943682eea828feb7c077ab,5d9425d2a9cf770a818c0e69,1,1,2,4,3,30
5d943683eea828feb7c077ac,5d9426b8a9cf770a818d8c7c,4,3,2,3,3,30
5d94369deea828feb7c077bf,5d9425e2a9cf770a818c26ea,2,2,1,1,3,10
5d94369deea828feb7c077c0,5d942657a9cf770a818ce56c,2,4,3,4,5,25
5d94369eeea828feb7c077c1,5d942677a9cf770a818d1cb5,3,3,5,4,5,10
5d94369eeea828feb7c077c2,5d9426a7a9cf770a818d6fd5,5,2,5,4,1,20
5d9436baeea828feb7c077cf,5d942618a9cf770a818c7dfe,3,3,1,2,3,10
5d9436baeea828feb7c077d0,5d9425e8a9cf770a818c3137,5,1,2,3,4,25
5d9436baeea828feb7c077d1,5d9426a4a9cf770a818d6a3e,3,5,4,5,5,30
5d943702eea828feb7c077e3,5d9425d6a9cf770a818c14a7,2,4,3,5,3,10
5d943702eea828feb7c077e4,5d942652a9cf770a818cdced,3,5,4,5,1,30
5d943702eea828feb7c077e5,5d94264aa9cf770a818ccfd1,1,2,4,4,2,10
5d943702eea828feb7c077e6,5d942708a9cf770a818e108b,3,4,5,5,3,30
5d94374aeea828feb7c077f9,5d9425b3a9cf770a818bdf60,2,2,5,2,2,10
5d94374aeea828feb7c077fa,5d94260da9cf770a818c6b72,4,3,5,2,1,10
5d94374aeea828feb7c077fb,5d9425bfa9cf770a818bf14c,5,3,5,3,1,15
5d94374aeea828feb7c077fc,5d9426a3a9cf770a818d67fe,1,4,4,4,5,10
5d943758eea828feb7c07809,5d942661a9cf770a818cf72a,2,2,2,5,5,10
5d943758eea828feb7c0780a,5d94263fa9cf770a818cbca1,2,2,3,5,5,10
5d943758eea828feb7c0780b,5d9426a4a9cf770a818d6a17,5,2,3,4,5,10
5d9437dbeea828feb7c0781d,5d942607a9cf770a818c6202,4,4,4,3,2,10
5d9437dbeea828feb7c0781e,5d942620a9cf770a818c8b79,4,2,4,5,5,30
5d9437dbeea828feb7c0781f,5d9425c7a9cf770a818bfd50,3,1,1,4,2,25
5d9437dceea828feb7c07820,5d9426c5a9cf770a818da1a0,1,1,2,3,4,25
5d94380ceea828feb7c07833,5d9425d3a9cf770a818c1014,4,1,2,5,5,10
5d94380ceea828feb7c07834,5d94266aa9cf770a818d05ff,2,2,5,4,5,15
5d94380ceea828feb7c07835,5d942652a9cf770a818cdc81,4,4,3,3,2,25
5d94380ceea828feb7c07836,5d9426a2a9cf770a818d66d3,2,4,2,2,3,25
5d94381deea828feb7c07843,5d94261ba9cf770a818c82a8,1,1,5,1,3,10
5d94381deea828feb7c07844,5d94262aa9cf770a818c9bc0,2,2,5,1,1,20
5d94381deea828feb7c07845,5d9426a6a9cf770a818d6d34,5,1,4,1,5,15
5d944591a4e8e3def32f3d5b,5d942609a9cf770a818c664b,4,4,5,2,3,15
5d944592a4e8e3def32f3d5c,5d9425e0a9cf770a818c24eb,1,4,5,1,3,20
5d944592a4e8e3def32f3d5d,5d942708a9cf770a818e0f83,1,5,3,1,3,20
5d9445a4a4e8e3def32f3d69,5d942676a9cf770a818d1b12,1,2,3,1,5,15
5d9445a4a4e8e3def32f3d6a,5d94265fa9cf770a818cf414,1,3,2,4,5,15
5d9445a4a4e8e3def32f3d6b,5d9426a1a9cf770a818d6516,4,3,5,4,2,30
5d9445eaa4e8e3def32f3d7d,5d942602a9cf770a818c5a39,2,4,2,1,5,15
5d9445eaa4e8e3def32f3d7e,5d9425c2a9cf770a818bf4e4,5,1,2,3,4,15
5d9445eaa4e8e3def32f3d7f,5d94268ca9cf770a818d40e6,5,4,2,1,3,25
5d9445eba4e8e3def32f3d80,5d942762a9cf770a818ea9be,4,2,3,5,4,30
5d9445fda4e8e3def32f3d8d,5d942677a9cf770a818d1bb8,4,1,3,2,5,15
5d9445fda4e8e3def32f3d8e,5d942637a9cf770a818cb034,3,3,1,2,5,30
5d9445fda4e8e3def32f3d8f,5d9426a3a9cf770a818d67ec,3,1,3,5,2,10
5d944623a4e8e3def32f3d9b,5d942679a9cf770a818d1e9f,4,2,3,1,1,15
5d944624a4e8e3def32f3d9c,5d942622a9cf770a818c8db7,4,2,3,3,4,25
5d944624a4e8e3def32f3d9d,5d9426daa9cf770a818dc69a,4,5,1,4,4,20
5d94464ba4e8e3def32f3da9,5d94269ba9cf770a818d5a43,2,3,5,5,1,15
5d94464ba4e8e3def32f3daa,5d942681a9cf770a818d2e51,1,4,4,4,5,30
5d94464ca4e8e3def32f3dab,5d9426d1a9cf770a818db646,4,1,3,1,4,25
5d944679a4e8e3def32f3dbd,5d9425f1a9cf770a818c3e0e,3,4,1,5,1,15
5d94467aa4e8e3def32f3dbe,5d94265fa9cf770a818cf39b,2,2,2,4,2,15
5d94467aa4e8e3def32f3dbf,5d9425dfa9cf770a818c223c,3,5,3,3,1,25
5d94467aa4e8e3def32f3dc0,5d9426eba9cf770a818de05d,5,2,2,4,2,10
5d94468cbce6453b2b96bab3,5d94260ba9cf770a818c68e6,4,5,1,4,4,10
5d94468cbce6453b2b96bab4,5d942655a9cf770a818ce2f2,2,4,5,3,2,10
5d94468cbce6453b2b96bab5,5d9425b4a9cf770a818be075,1,5,1,1,3,20
5d94468dbce6453b2b96bab6,5d9426c3a9cf770a818d9ec6,2,4,1,3,2,30
5d944698a4e8e3def32f3dcd,5d94267fa9cf770a818d29ba,4,1,5,1,2,15
5d944698bce6453b2b96bac3,5d94262da9cf770a818ca06a,4,3,2,4,3,10
5d944698a4e8e3def32f3dce,5d9425f0a9cf770a818c3c7d,5,3,5,4,1,10
5d944698bce6453b2b96bac4,5d9425e6a9cf770a818c2e4e,5,1,2,4,4,30
5d944698a4e8e3def32f3dcf,5d9426ada9cf770a818d7aa8,4,3,5,4,4,15
5d944699bce6453b2b96bac5,5d9426a1a9cf770a818d641b,2,3,5,2,3,15
5d9446a4a4e8e3def32f3ddb,5d94268fa9cf770a818d45f0,1,5,4,1,1,15
5d9446a4a4e8e3def32f3ddc,5d9425c2a9cf770a818bf5ca,4,5,5,3,4,20
5d9446a4a4e8e3def32f3ddd,5d9426aca9cf770a818d7824,4,5,3,4,4,30
5d9446aebce6453b2b96bad7,5d942622a9cf770a818c8dc3,5,1,3,1,2,10
5d9446aebce6453b2b96bad8,5d9425f2a9cf770a818c4021,4,2,3,3,2,15
5d9446aebce6453b2b96bad9,5d94265ca9cf770a818cee60,5,2,1,2,2,15
5d9446aebce6453b2b96bada,5d9426d6a9cf770a818dbfa9,3,2,2,3,2,15
5d9446b0a4e8e3def32f3de9,5d942690a9cf770a818d4803,4,2,5,1,2,15
5d9446b1a4e8e3def32f3dea,5d942657a9cf770a818ce53d,2,2,5,5,5,25
5d9446b1a4e8e3def32f3deb,5d9426a3a9cf770a818d6826,3,4,5,5,1,10
5d9446e0a4e8e3def32f3dfd,5d942607a9cf770a818c61f8,1,5,1,3,1,15
5d9446e1a4e8e3def32f3dfe,5d94263ca9cf770a818cb874,1,3,3,1,2,30
5d9446e1a4e8e3def32f3dff,5d9425f4a9cf770a818c4366,5,5,4,2,1,30
5d9446e1a4e8e3def32f3e00,5d9426f5a9cf770a818df05e,5,1,1,1,4,15
